"","threshold","method","testing_population","mean_FDR","mean_FPR","mean_FNR","mean_true_positive","mean_false_positive","mean_true_negative","mean_false_negative","plot_legend","overlap_percentage"
"70",-0.897959183673469,"LS.CEU","YRI",0.424801276049005,0.69045,0.0651,1869.8,1380.9,619.1,130.2,"LS(C2Y)",100
"71",-0.734693877551021,"LS.CEU","YRI",0.408608004639981,0.6277,0.09155,1816.9,1255.4,744.6,183.1,"LS(C2Y)",100
"72",-0.571428571428572,"LS.CEU","YRI",0.39110789941433,0.5602,0.1279,1744.2,1120.4,879.6,255.8,"LS(C2Y)",100
"73",-0.408163265306123,"LS.CEU","YRI",0.371868128958766,0.49155,0.1698,1660.4,983.1,1016.9,339.6,"LS(C2Y)",100
"74",-0.244897959183674,"LS.CEU","YRI",0.350900930085236,0.42155,0.22025,1559.5,843.1,1156.9,440.5,"LS(C2Y)",100
"75",-0.0816326530612246,"LS.CEU","YRI",0.329534690000316,0.3554,0.27695,1446.1,710.8,1289.2,553.9,"LS(C2Y)",100
"76",0.0816326530612246,"LS.CEU","YRI",0.308943083095768,0.29345,0.34365,1312.7,586.9,1413.1,687.3,"LS(C2Y)",100
"77",0.244897959183673,"LS.CEU","YRI",0.288999037358039,0.2381,0.4143,1171.4,476.2,1523.8,828.6,"LS(C2Y)",100
"78",0.408163265306122,"LS.CEU","YRI",0.267744780789484,0.187,0.48875,1022.5,374,1626,977.5,"LS(C2Y)",100
"79",0.571428571428571,"LS.CEU","YRI",0.248638145794587,0.144,0.5649,870.2,288,1712,1129.8,"LS(C2Y)",100
"80",0.73469387755102,"LS.CEU","YRI",0.22589162051434,0.1064,0.6356,728.8,212.8,1787.2,1271.2,"LS(C2Y)",100
"81",0.897959183673469,"LS.CEU","YRI",0.207082463989336,0.0775,0.7037,592.6,155,1845,1407.4,"LS(C2Y)",100
"82",1.06122448979592,"LS.CEU","YRI",0.187745643343459,0.0548,0.7631,473.8,109.6,1890.4,1526.2,"LS(C2Y)",100
"83",1.22448979591837,"LS.CEU","YRI",0.169410442426752,0.03695,0.81875,362.5,73.9,1926.1,1637.5,"LS(C2Y)",100
"84",1.38775510204082,"LS.CEU","YRI",0.144140496976682,0.0228,0.8645,271,45.6,1954.4,1729,"LS(C2Y)",100
"85",1.55102040816327,"LS.CEU","YRI",0.126229699150922,0.0142,0.9016,196.8,28.4,1971.6,1803.2,"LS(C2Y)",100
"86",1.71428571428571,"LS.CEU","YRI",0.106214582966172,0.0084,0.92955,140.9,16.8,1983.2,1859.1,"LS(C2Y)",100
"87",1.87755102040816,"LS.CEU","YRI",0.0971037110818071,0.0053,0.9508,98.4,10.6,1989.4,1901.6,"LS(C2Y)",100
"88",2.04081632653061,"LS.CEU","YRI",0.0756353069123974,0.0028,0.9662,67.6,5.6,1994.4,1932.4,"LS(C2Y)",100
"89",2.20408163265306,"LS.CEU","YRI",0.0760320075899177,0.0018,0.9782,43.6,3.6,1996.4,1956.4,"LS(C2Y)",100
"90",2.36734693877551,"LS.CEU","YRI",0.0817086153055514,0.0013,0.98595,28.1,2.6,1997.4,1971.9,"LS(C2Y)",100
"91",2.53061224489796,"LS.CEU","YRI",0.0605805305805306,0.00055,0.9912,17.6,1.1,1998.9,1982.4,"LS(C2Y)",100
"92",2.69387755102041,"LS.CEU","YRI",0.0511904761904762,0.00025,0.9952,9.6,0.5,1999.5,1990.4,"LS(C2Y)",100
"93",2.85714285714286,"LS.CEU","YRI",0.0819047619047619,2e-04,0.9976,4.8,0.4,1999.6,1995.2,"LS(C2Y)",100
"94",3.02040816326531,"LS.CEU","YRI",0.05,1e-04,0.99865,2.7,0.2,1999.8,1997.3,"LS(C2Y)",100
"95",3.18367346938775,"LS.CEU","YRI",0.02,5e-05,0.99915,1.7,0.1,1999.9,1998.3,"LS(C2Y)",100
"96",3.3469387755102,"LS.CEU","YRI",NA,0,0.99955,0.9,0,2000,1999.1,"LS(C2Y)",100
"97",3.51020408163265,"LS.CEU","YRI",NA,0,0.99975,0.5,0,2000,1999.5,"LS(C2Y)",100
"98",3.6734693877551,"LS.CEU","YRI",NA,0,0.9999,0.2,0,2000,1999.8,"LS(C2Y)",100
"99",3.83673469387755,"LS.CEU","YRI",NA,0,0.9999,0.2,0,2000,1999.8,"LS(C2Y)",100
"100",4,"LS.CEU","YRI",NA,0,0.99995,0.1,0,2000,1999.9,"LS(C2Y)",100
"101",-4,"JLS","YRI",0.499949981242184,0.9998,0,2000,1999.6,0.4,0,"JLS(Y&C2Y)",100
"102",-3.83673469387755,"JLS","YRI",0.499949981242184,0.9998,0,2000,1999.6,0.4,0,"JLS(Y&C2Y)",100
"103",-3.6734693877551,"JLS","YRI",0.499924974990621,0.9997,0,2000,1999.4,0.6,0,"JLS(Y&C2Y)",100
"104",-3.51020408163265,"JLS","YRI",0.499874943723425,0.9995,0,2000,1999,1,0,"JLS(Y&C2Y)",100
"105",-3.3469387755102,"JLS","YRI",0.499799881167121,0.9992,0,2000,1998.4,1.6,0,"JLS(Y&C2Y)",100
"106",-3.18367346938776,"JLS","YRI",0.499637196598951,0.99855,0,2000,1997.1,2.9,0,"JLS(Y&C2Y)",100
"107",-3.02040816326531,"JLS","YRI",0.499336501477556,0.99735,0,2000,1994.7,5.3,0,"JLS(Y&C2Y)",100
"108",-2.85714285714286,"JLS","YRI",0.49883441922193,0.99535,0,2000,1990.7,9.3,0,"JLS(Y&C2Y)",100
"109",-2.69387755102041,"JLS","YRI",0.498066819036943,0.9923,0,2000,1984.6,15.4,0,"JLS(Y&C2Y)",100
"110",-2.53061224489796,"JLS","YRI",0.49692991234852,0.9877,1e-04,1999.8,1975.4,24.6,0.2,"JLS(Y&C2Y)",100
